country,cfi_esem,tli_esem,rmsea_esem,bic_esem
US,0.8455764520658051,0.8089203573541528,0.05746408050174789,20836761.350867487
GB,0.8466064365770233,0.8101948331382358,0.057666254308404594,3027411.0691483854
CA,0.8341069746629106,0.7947283272344097,0.05899898026302113,2676748.076122097
AU,0.8481878456024258,0.8121516271343147,0.0567161059711265,2096717.4179380247
DE,0.8339609848972309,0.7945476833324321,0.05910336515584903,753157.3572017067
IN,0.8379597855517569,0.7994956942433354,0.050103684467959056,739433.8956258845
PH,0.8418143933495429,0.804265284700192,0.047444192753336785,682873.007255069
MX,0.837803855450233,0.7993027504308438,0.048024471822505424,607402.7997624781
NO,0.8389280226866702,0.8006937654456272,0.05727401978840106,509350.5126258911
NL,0.8347629876549632,0.7955400604821513,0.05818039642708414,470805.74013913615
SE,0.827530865990483,0.7865912230690321,0.060565594455005325,460923.9952384081
MY,0.8525059741592235,0.8174947660050997,0.047360051354141036,451669.00177235453
NZ,0.8395346885253377,0.8014444378217562,0.05781788318318135,398621.8150298618
ID,0.8197329865934783,0.7769423318959706,0.05264762104195356,357872.4755202818
SG,0.8310876207239428,0.790992257966495,0.05871873078121871,332436.1275541397
BR,0.8312374039771924,0.7911775958303643,0.05794825032546392,345437.94803360326
FR,0.8288271433660603,0.7881952026499232,0.05827946589949185,319796.11025150353
IT,0.8295830819258253,0.7891305811708444,0.057151811401553204,267951.58711482154
ES,0.8317571093127839,0.7918206655637983,0.055649509829812156,262936.76179283793
PL,0.8382773414513307,0.7998886295736163,0.05813696714539905,257610.39630048687
IE,0.837463670210478,0.7988818141493288,0.05790546652725897,246570.16532282182
FI,0.8232972149689688,0.7813526144818048,0.06389957004326328,239123.69219261198
DK,0.848593676766624,0.8126537919587014,0.05514603691479245,235016.46416990247
RO,0.8280721002299253,0.7872609321026853,0.05755742704235847,207563.94213492447
CO,0.8141005833250915,0.7699729440133708,0.05045038425327499,201143.0197720489
RU,0.8303507849446201,0.7900805167244036,0.05420271551570024,185877.13984071685
BE,0.835776436728245,0.7967940757495959,0.05870825000032282,170654.7464297293
AR,0.8106414499252431,0.765692703190326,0.05375183654361757,180692.3564254565
HK,0.822949931668239,0.7809228952460534,0.05857800333206117,166252.35686267918
ZA,0.8382937360720352,0.7999089158467101,0.0558724666797357,174241.87193802677
TR,0.81973143017996275,0.7769404060307619,0.054844309322604715,149968.81338547257
PK,0.8123090970822732,0.7677562059856411,0.04908314463819797,155526.93850446361
PT,0.8268326404684678,0.7857272571453264,0.05898222432122583,136274.72240923785
GR,0.817835655236197,0.774594623903375,0.05929254907629295,135848.6645966897
CH,0.8231112934369804,0.7811225600609102,0.059793560859436885,128426.27786128249
AE,0.8150875966854348,0.7711942484238967,0.05666799394718852,126883.63504657641
AT,0.8374667488316816,0.7988856235543534,0.05896629087113265,119738.35769275634
CL,0.822774503335536,0.7807058248343755,0.052210896021758615,123881.36039563142
HR,0.8345330497338728,0.7952555413373679,0.05916537434983427,115174.63098151331
