country,origin_in_favor,prop_origin,country_comp,bf_origin,bf_e_power
Argentina,33,0.868421052631579,USA,1.2289172222229716e-54,-124.13346154712781
Australia,38,1,Canada,25578633882673197e45,141.39686296868604
Austria,36,0.9473684210526315,USA,2.9797900859077216e-38,-86.40638067670807
Belgium,37,0.9736842105263158,USA,9.60846738048174e-16,-34.57871675938077
Brazil,37,0.9736842105263158,USA,9.521079274429389e-5,-9.259417253430001
Canada,38,1,Australia,98524041790180670,39.1290769923944
Chile,37,0.9736842105263158,USA,4.240511525994023e-12,-26.186337211038335
Colombia,36,0.9473684210526315,Chile,5.026973517918436e-11,-23.71361790620722
Croatia,35,0.9210526315789473,USA,8.883105712577956e-42,-94.52442266748403
Denmark,37,0.9736842105263158,USA,1.687549156100398e-47,-107.69822209783888
Finland,35,0.9210526315789473,USA,9.926248163814323e-64,-145.07026337337447
France,36,0.9473684210526315,USA,3.3870597351870213e-31,-70.16017567252857
Germany,38,1,France,2496704265330947e16,72.29510945110815
Greece,37,0.9736842105263158,USA,0.0020008148165481824,-6.214200773116318
Hong Kong,37,0.9736842105263158,USA,3.369121508308808e-35,-79.37582622443733
India,38,1,Philippines,7891117920613382e53,158.64152413670672
Indonesia,38,1,USA,6758039234049332e37,121.6451576295367
Ireland,36,0.9473684210526315,USA,1.0813620173330975e-56,-128.86654383392306
Italy,37,0.9736842105263158,USA,5.0757528569647855e-25,-55.94015246472554
Malaysia,38,1,Indonesia,3268309971769272e63,180.78591027663788
Mexico,38,1,Brazil,4079069466095124e82,224.7566229107906
Netherlands,38,1,New Zealand,8334540365727568e43,135.6703437632532
New Zealand,37,0.9736842105263158,USA,0.0033054755384245246,-5.712174931482878
Norway,38,1,Netherlands,8239095485453.735,29.739911682641832
Pakistan,35,0.9210526315789473,UAE,3.942276349991091e-10,-21.654092619661242
Philippines,38,1,India,60289984382059186e81,225.1473349208827
Poland,30,0.7894736842105263,USA,2.7491699212200526e-72,-164.7748276762868
Portugal,36,0.9473684210526315,USA,5.504091019011717e-23,-51.253965501484345
Romania,34,0.8947368421052632,USA,5.294325745727263e-47,-106.55486373769236
Russia,36,0.9473684210526315,USA,4.962579220403821e-41,-92.80406320306065
Singapore,38,1,USA,717710433.6904292,20.391576749971136
South Africa,36,0.9473684210526315,USA,1.2814161798140812e-64,-147.11748009480652
Spain,35,0.9210526315789473,USA,3.6147406795092336e-27,-60.884777392377146
Sweden,38,1,Netherlands,26.024714765471714,3.259046654420672
Switzerland,35,0.9210526315789473,USA,1.9114400055677092e-46,-105.27105739011313
Turkey,36,0.9473684210526315,USA,2.0983266318123795e-35,-79.84933806970366
UAE,37,0.9736842105263158,USA,3.38678650286612e-43,-97.7912774611832
UK,38,1,Canada,9007076358062391e10,59.76263785525225
USA,18,0.47368421052631576,Canada,0,-45474.516296686605
