country,cfi_ucesem,tli_ucesem,rmsea_ucesem,bic_ucesem,nfactors
US,0.9364894952152895,0.9002559379983713,0.04151765129032847,20549783.20242261,10
GB,0.935377803967138,0.8985100126406975,0.04216764303883447,2987914.917482426,10
CA,NA,NA,NA,NA,10
AU,NA,NA,NA,NA,10
DE,0.9338141173157426,0.8960542227074162,0.04203974888088821,743421.4681705866,10
IN,0.9350018670776609,0.902899130695286,0.03486738450406554,733379.011565884,9
PH,NA,NA,NA,NA,8
MX,0.9381012949439617,0.9027872901363501,0.03342361433829459,603076.0115396368,10
NO,NA,NA,NA,NA,9
NL,0.9189323410980649,0.8788928266404019,0.04477725806242719,466119.8048670246,9
SE,0.9137187611064217,0.8711042467748372,0.04706945287148606,456204.23742249317,9
MY,NA,NA,NA,NA,8
NZ,NA,NA,NA,NA,9
ID,0.9262987962224056,0.8898975919176182,0.03698865859168266,355031.53627665824,9
SG,0.9204833658726359,0.8812099063341208,0.04426756006939856,329251.8808572269,9
BR,0.9119726051547096,0.8747577715615786,0.04487734700391439,342522.1767427624,8
FR,NA,NA,NA,NA,8
IT,0.8861046430503643,0.8454907948357655,0.04892156913645651,266476.46868244704,7
ES,0.9052695044077326,0.8652208396044976,0.04477688820882029,261284.68215664418,8
PL,0.9088313046357132,0.8702884415548764,0.04680646335676757,255805.42686865997,8
IE,0.9046858399387496,0.8643904226770828,0.047548746751484336,245000.59583984557,8
FI,0.9164734489516974,0.8738347410182851,0.0485395430307743,236640.3917989195,9
DK,NA,NA,NA,NA,8
RO,0.8972977660732628,0.860675264052876,0.04657918227348203,206189.12497659025,7
CO,0.8820763742440056,0.8400260890907054,0.042072623982732586,200421.22982514277,7
RU,0.9114126823255719,0.8739611333900414,0.04199977029564457,184906.35670357273,8
BE,0.9097309320506158,0.8703638824876957,0.04689148215914369,169592.4654833805,8
AR,0.8778652781265919,0.8343133617996402,0.04520059416489197,179985.72174649738,7
HK,0.879194884905131,0.8361170919255654,0.05066439942622432,165476.10676399697,7
ZA,0.8675667039777257,0.8285086811550888,0.05172554159257907,173839.00338258987,6
TR,0.883034315569732,0.8413256218969234,0.04625668656166488,149407.34053673607,7
PK,NA,NA,NA,NA,8
PT,0.8861576186456449,0.8455626609533943,0.050074178957883256,135636.0818005982,7
GR,0.8816296075727779,0.8394200102731484,0.05004534638934683,135183.34594376807,7
CH,0.8530672163675467,0.8097329176006814,0.05574882863558411,128130.5381320586,6
AE,0.9049997445128712,0.8648370348760362,0.04355451935488952,126295.46510280957,8
AT,0.9043016920152072,0.8638438707533436,0.048517772108632014,119264.95333586656,8
CL,0.8889890462673959,0.8494037449363899,0.04326679087136306,123517.80653448055,7
HR,0.8996784677830413,0.8639048981552886,0.048237277228104246,114551.27066103526,7
